Issue ID,Issue Type,Summary,Description,Parent,Labels
1,Epic,Investigate webhook delivery failures,"Operators can locate and inspect relevant delivery evidence.
Source epic: EP-01",,prd-genie-relayops
2,Epic,Replay safely and observe outcomes,"Authorized operators can replay eligible failures once and see a durable result.
Source epic: EP-02",,prd-genie-relayops
3,Epic,Control and audit account access,"Admins govern replay access and auditors can inspect immutable account-scoped evidence.
Source epic: EP-03",,prd-genie-relayops
100,Story,Filter delivery history,"As a Integration Operator, I want to filter deliveries by status, endpoint, event type and date range, so that I can locate relevant failed deliveries without searching engineering logs.

DESCRIPTION
Provide an account-scoped delivery list. Combine supplied filters with AND. Use UTC ISO 8601 date bounds, inclusive start and exclusive end. Limit the selected interval and record age to the previous 30 days. Paginate 50 records per page, ordered by timestamp descending and delivery ID descending as the tie-breaker. An empty result displays a clear zero-results message.

API CONTRACT
GET /v2/deliveries?status=&endpoint_id=&event_type=&from=&to=&cursor=. Returns HTTP 200 with items and next_cursor; invalid filters return 400. Tenant context comes from the authenticated identity, never a caller-supplied account selector.

ACCEPTANCE CRITERIA
AC-001
GIVEN an authenticated operator in account-pilot-a and delivery records across two accounts
WHEN the operator filters status=failed, endpoint=ep-12, event_type=invoice.paid and a valid UTC date range
THEN only account-pilot-a records matching every filter are returned in the specified order, with at most 50 records per page

AC-002
GIVEN an authenticated operator and a date range longer than 30 days or with start greater than or equal to end
WHEN the operator requests delivery history
THEN the API returns HTTP 400 with code INVALID_DATE_RANGE and the UI explains the allowed range without returning delivery records

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-001: p95 < 800 ms with 500 concurrent operators and 100,000 delivery records per account. Verification: Run a 30-minute steady-state load test after five-minute warmup, using realistic filter combinations; report p50, p95, p99, errors and sample count.
NFR-003: All pilot acceptance scenarios pass in both specified desktop browser versions. Mobile support is explicitly excluded. Verification: Cross-browser regression suite on the pinned synthetic acceptance environment. These versions are fictional project test targets, not a current-browser recommendation.

SOURCE AND REVIEW
Requirement: FR-001; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",1,prd-genie-relayops
101,Story,Inspect delivery evidence,"As a Integration Operator, I want to open the details of a selected delivery, so that I can determine why delivery failed before deciding whether to replay it.

DESCRIPTION
Display delivery ID, endpoint ID, event type, UTC timestamp, HTTP status code or the literal network_timeout for a timeout, attempt count and last failure reason. Do not expose raw payload bodies, signing secrets or authorization headers. Show replay eligibility and the supported reason when ineligible.

API CONTRACT
GET /v2/deliveries/{delivery_id}. Returns HTTP 200 for an accessible record, otherwise 404. Existing identity checks precede data lookup.

ACCEPTANCE CRITERIA
AC-003
GIVEN an operator with access to a failed delivery in the same account
WHEN the operator opens its detail view
THEN all seven specified evidence fields and replay eligibility are displayed, without raw payloads or secret headers

AC-004
GIVEN an operator requesting a delivery ID that does not exist in the authenticated account
WHEN the operator opens the detail view
THEN the API returns HTTP 404 with code DELIVERY_NOT_FOUND and reveals no other account metadata

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-003: All pilot acceptance scenarios pass in both specified desktop browser versions. Mobile support is explicitly excluded. Verification: Cross-browser regression suite on the pinned synthetic acceptance environment. These versions are fictional project test targets, not a current-browser recommendation.
NFR-004: Zero forbidden secret values in the security test corpus; all five route families enforce account isolation. Verification: TLS configuration check, secret-canary scanning and negative authorization tests before launch.

SOURCE AND REVIEW
Requirement: FR-002; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",1,prd-genie-relayops
102,Story,Request a single eligible replay,"As a Integration Operator, I want to replay one eligible failed delivery after confirming the action, so that I can recover a missed webhook without asking an engineer to run a script.

DESCRIPTION
Require current replay permission and an explicit confirmation displaying delivery ID and endpoint. Accept only network timeouts or HTTP 5xx failures from the previous 30 days. Reject successful, 4xx, too-old or already-running deliveries. Reuse the immutable original payload and signing configuration. A durable acceptance transaction creates an outbox entry and replay_job_id before dispatch.

API CONTRACT
POST /v2/deliveries/{delivery_id}/replays with required Idempotency-Key and body {""reason"":""operator_recovery""}. Responses: 202 accepted; 400 missing key; 401 unauthenticated; 403 missing replay permission; 404 inaccessible delivery; 409 key/body conflict; 422 ineligible; 503 failed durable acceptance.

ACCEPTANCE CRITERIA
AC-005
GIVEN a permitted operator, an eligible same-account HTTP 5xx failure, and a fresh Idempotency-Key
WHEN the operator confirms and sends a replay request
THEN the API returns HTTP 202 with replay_job_id and queued status, and one durable replay job is accepted

AC-006
GIVEN a permitted operator and an HTTP 4xx, successful, older-than-30-days or already-running delivery
WHEN the operator requests replay
THEN the API returns HTTP 422 with code DELIVERY_NOT_ELIGIBLE and enqueues no replay job

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-002: 90-day retention; 100% required audit-field completeness for accepted replay jobs. Verification: Retention-boundary test, append-only permission check and daily job-to-audit reconciliation.
NFR-004: Zero forbidden secret values in the security test corpus; all five route families enforce account isolation. Verification: TLS configuration check, secret-canary scanning and negative authorization tests before launch.

SOURCE AND REVIEW
Requirement: FR-003; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",2,prd-genie-relayops
103,Story,Deduplicate replay requests,"As a Integration Operator, I want to safely retry an interrupted replay request, so that I do not create duplicate replay jobs when my client retries.

DESCRIPTION
Deduplicate atomically by authenticated account ID, delivery ID and Idempotency-Key for 24 hours from first acceptance. A duplicate identical request returns the original job ID and current status without enqueueing another job. A duplicate key with a different body returns a conflict. Simultaneous duplicate requests are subject to the same atomic guarantee.

API CONTRACT
The replay POST endpoint owns deduplication. The deduplication key includes tenant and delivery identifiers. Keys are not shared across accounts. Expired keys require a fresh eligibility check before any new replay.

ACCEPTANCE CRITERIA
AC-007
GIVEN an accepted replay and its Idempotency-Key within the 24-hour window
WHEN the same account retries the identical request concurrently or sequentially
THEN every accepted response references the original replay_job_id and exactly one job has been enqueued

AC-008
GIVEN an accepted replay key within its 24-hour window
WHEN the same account and delivery reuse the key with a different request body
THEN the API returns HTTP 409 with code IDEMPOTENCY_CONFLICT and no second job is created

SOURCE AND REVIEW
Requirement: FR-004; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",2,prd-genie-relayops
104,Story,Observe replay status,"As a Integration Operator, I want to see the current and final state of my replay job, so that I know whether the webhook recovery succeeded.

DESCRIPTION
Show queued, running, succeeded or failed plus the last status-update timestamp. Poll every 15 seconds while queued/running and the browser tab is visible. Stop on terminal state or hidden tab; refresh immediately when visible again. A manual refresh control is always available. On a transient polling error, keep the last known state, label it stale and retry on the next normal poll; never claim success from missing data.

API CONTRACT
GET /v2/replay-jobs/{replay_job_id}. HTTP 200 includes replay_job_id, status, updated_at and sanitized failure_code for failed jobs. Cross-account or absent jobs return 404. State transitions are queued -> running -> succeeded|failed.

ACCEPTANCE CRITERIA
AC-009
GIVEN a visible browser tab showing a queued or running replay
WHEN 15 seconds elapse
THEN the UI requests current status and updates only from a successful response; polling stops when succeeded or failed is returned

AC-010
GIVEN a queued replay view that becomes hidden or experiences a failed status request
WHEN the tab is hidden and later visible, or the status request fails
THEN background polling stops while hidden; visibility restoration triggers immediate refresh; a failed request preserves the last known state and displays a stale-state warning

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-003: All pilot acceptance scenarios pass in both specified desktop browser versions. Mobile support is explicitly excluded. Verification: Cross-browser regression suite on the pinned synthetic acceptance environment. These versions are fictional project test targets, not a current-browser recommendation.

SOURCE AND REVIEW
Requirement: FR-005; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",2,prd-genie-relayops
105,Story,Manage replay permissions,"As a Account Admin, I want to grant or revoke an operator's replay permission within my account, so that I can control who may initiate a potentially consequential replay.

DESCRIPTION
The permission screen lists operators in the authenticated admin account and the current replay permission. Require confirmation for grant and revoke. Re-evaluate permission on every replay POST; a revocation must take effect within 60 seconds. A permission change produces an audit event containing admin actor, target operator, account, action and UTC timestamp.

API CONTRACT
PUT /v2/operators/{operator_id}/replay-permission with {""enabled"":true|false}. HTTP 200 after durable update and audit; 403 for non-admins; 404 for a target outside the account.

ACCEPTANCE CRITERIA
AC-011
GIVEN an Account Admin and an operator in the same account
WHEN the admin confirms a grant or revoke
THEN the permission record changes, an audit event is written, and the new permission is enforced on replay requests within 60 seconds

AC-012
GIVEN an Integration Operator or Auditor without the Account Admin role
WHEN the user calls the permission-management endpoint
THEN the API returns HTTP 403 with code ADMIN_ROLE_REQUIRED and makes no permission change

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-002: 90-day retention; 100% required audit-field completeness for accepted replay jobs. Verification: Retention-boundary test, append-only permission check and daily job-to-audit reconciliation.
NFR-003: All pilot acceptance scenarios pass in both specified desktop browser versions. Mobile support is explicitly excluded. Verification: Cross-browser regression suite on the pinned synthetic acceptance environment. These versions are fictional project test targets, not a current-browser recommendation.

SOURCE AND REVIEW
Requirement: FR-006; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",3,prd-genie-relayops
106,Story,Inspect immutable audit history,"As a Auditor, I want to inspect account-scoped delivery and replay audit history, so that I can reconstruct who initiated a replay and its outcome.

DESCRIPTION
Provide a read-only audit view filterable by UTC date range, actor ID and delivery ID. Every accepted replay records actor ID, account ID, original delivery ID, replay_job_id, UTC request timestamp and current/final outcome. Terminal updates append events rather than overwriting history. Audit retention is 90 days even though replay eligibility and delivery search are 30 days. Permission-change events are also visible. No export feature is included.

API CONTRACT
GET /v2/audit-events?from=&to=&actor_id=&delivery_id=&cursor=. Returns append-only events for up to 90 days. The public pilot API exposes no audit update or delete operation.

ACCEPTANCE CRITERIA
AC-013
GIVEN an Auditor in an account with accepted replay jobs and terminal outcomes
WHEN the auditor filters the audit view
THEN only that account's audit events appear and every replay is traceable through all six required audit fields

AC-014
GIVEN an authenticated Auditor
WHEN the auditor attempts replay, permission modification or audit modification
THEN each prohibited operation is rejected with HTTP 403 and no write or replay is performed

APPLICABLE NON-FUNCTIONAL REQUIREMENTS
NFR-002: 90-day retention; 100% required audit-field completeness for accepted replay jobs. Verification: Retention-boundary test, append-only permission check and daily job-to-audit reconciliation.
NFR-003: All pilot acceptance scenarios pass in both specified desktop browser versions. Mobile support is explicitly excluded. Verification: Cross-browser regression suite on the pinned synthetic acceptance environment. These versions are fictional project test targets, not a current-browser recommendation.

SOURCE AND REVIEW
Requirement: FR-007; source priority: Must Have; review 26ec68ea-3b6b-48ed-8fee-63d8e9d3b14c revision 2; approved by Raghavendra Kaushik.",3,prd-genie-relayops
